Fecha Declaración;Nombre;Apellido Paterno;Apellido Materno;Cargo;Tipo Declaración;Institución
2017-03-30T00:00:00Z;ANDREA GISELA;ASTE;VON BENNEWITZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-06-15T00:00:00Z;MARIA JOSE;ESCOBAR;OPAZO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-03-30T00:00:00Z;STEPHANIE CAROLINE;VIVANCO;HERNÁNDEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-03-30T00:00:00Z;WALDO MAURICIO;PALACIOS;NÚÑEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2017-03-30T00:00:00Z;JONATHAN ALEJANDRO;HECHENLEITNER;RIFFO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);SOMOS AYSÉN
2017-03-31T00:00:00Z;KAROL AÍDA;CARIOLA;OLIVA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO COMUNISTA DE CHILE
2017-03-31T00:00:00Z;KAROL AÍDA;CARIOLA;OLIVA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO COMUNISTA DE CHILE
2017-04-03T00:00:00Z;CRISTIAN ALFREDO;RODRÍGUEZ;SALAS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-03-31T00:00:00Z;FARID JAIME;SELEME;RUILOVA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-03-31T00:00:00Z;NICOLÁS EDUARDO;FARRÁN;FIGUEROA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO DEMÓCRATA CRISTIANO
2017-03-31T00:00:00Z;LILY JOVANKA;PÉREZ;SAN MARTÍN;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);AMPLITUD
2017-03-31T00:00:00Z;EMILIO ALEJANDRO;OÑATE;VERA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2017-03-25T00:00:00Z;GUILLERMO LEÓN;TEILLIER;DEL VALLE;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO COMUNISTA DE CHILE
2017-03-23T00:00:00Z;PATRICIO HERNÁN;SAAVEDRA;ONETTO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);UNIDOS RESULTA EN DEMOCRACIA
